filename,interviewer,narrator,year_served,interview_date,position,phd_year
bachrach.xml,John Weeks,Christine Bachrach,2013,2013-05-07,president,1979
bianchi.xml,Jean van der Tak,Suzanne M. Bianchi,1987,1989-11-08,president,1978
blake.xml,Jean van der Tak,Judith Blake,1981,1989-05-04,president,1961
bogue.xml,Jean van der Tak,Donald J. Bogue,1964,1989-03-30,president,1949
brackett.xml,Jean van der Tak,James W. Brackett,1971,1988-03-29,secretary_treasurer,1955
bumpass.xml,Jean van der Tak,Larry L. Bumpass,1990,1991-03-21,president,1968
campbell.xml,Jean van der Tak,Arthur A. Campbell,1973,1988-02-16,president,1952
carter.xml,Anders Lunde,Hugh S. Carter,1953,1974-11-20,secretary_treasurer,1935
cherlin.xml,Karen Hardee and Dennis Hodgson,Andrew Cherlin,1999,2017-04-27,president,1976
coale_lunde.xml,Anders Lunde,Ansley J. Coale,1967,1979-04-27,president,1947
coale_vdt.xml,Jean van der Tak,Ansley J. Coale,1967,1988-05-11,president,1947
davis.xml,Jean van der Tak,Kingsley Davis,1963,1989-05-01,president,1936
demeny.xml,Jean van der Tak,Paul Demeny,1986,1988-06-08,president,1961
duncanGreg.xml,"Dennis Hodgson, John Weeks, Karen Hardee, and Win Brown",Greg Duncan,2008,2018-04-26,president,1974
duncanOtis.xml,Jean van der Tak,Otis Dudley Duncan,1968,1989-05-03,president,1949
durand.xml,Abbott Ferriss,John D. Durand,1961,1979-08-11,president,1939
easterlin.xml,Jean van der Tak,Richard A. Easterlin,1978,1989-05-04,president,1953
evans.xml,John Weeks,V. Jeffrey Evans,1993,1996-11-20,secretary_treasurer,1972
farley.xml,Jean van der Tak,Reynolds Farley,1988,1989-02-04,president,1964
ferriss.xml,Jean van der Tak,Abbott L. Ferriss,1968,1988-04-18,secretary_treasurer,1950
freedman_lunde.xml,Anders Lunde,Ronald Freedman,1964,1979-04-26,president,1947
freedman_vdt.xml,Jean van der Tak,Ronald Freedman,1964,1989-06-12,president,1947
glick.xml,Jean van der Tak,Paul C. Glick,1962,1989-05-09,president,1938
goldstein.xml,Jean van der Tak,Sidney Goldstein,1975,1989-12-14,president,1953
goodman.xml,Jean van der Tak,"John L. Goodman, Jr.",1981,1991-03-01,secretary_treasurer,1974
hauser.xml,Jean van der Tak,Philip M. Hauser,1942,1988-11-12,president,1938
hawley.xml,Jean van der Tak,Amos H. Hawley,1971,1988-04-06,president,1941
hermalin.xml,Jean van der Tak,Albert I. Hermalin,1993,1994-10-30,president,1969
hirschman.xml,PAA History Committee,Charles Hirschman,2005,2014-05-01,president,1972
kantner.xml,Jean van der Tak,John F. Kantner,1982,1988-03-22,president,1953
keyfitz.xml,Jean van der Tak,Nathan Keyfitz,1970,1988-12-31,president,1952
kirk.xml,Jean van der Tak,Dudley Kirk,1959,1989-04-19,president,1946
kiser.xml,Anders Lunde,Clyde V. Kiser,1952,1973-04-26,president,1932
kovar.xml,Jean van der Tak,Mary Grace Kovar,1975,1989-12-05,secretary_treasurer,1960
leeEverett.xml,Abbott Ferriss,Everett S. Lee,1969,1979-06-29,president,1952
leeRonald.xml,Jean van der Tak,Ronald D. Lee,1987,1989-04-28,president,1971
lunde_price.xml,Jean van der Tak,Anders Lunde and Daniel Price,1965,1988-04-05,secretary_treasurer,1950
lunde.xml,Jean van der Tak,Anders S. Lunde,1965,1988-04-05,secretary_treasurer,1955
mason.xml,PAA History Committee,Karen O. Mason,1997,2014-05-01,president,1970
massey.xml,"John R. Weeks, Dennis Hodgson, and Karen Hardee",Douglas S. Massey,1996,2015-04-30,president,1978
mayer.xml,Jean van der Tak,Hugh S. Carter,1953,1990-04-01,secretary_treasurer,1951
menken.xml,Jean van der Tak,Jane A. Menken,1985,1988-06-13,president,1975
merrick.xml,Jean van der Tak,Thomas W. Merrick,1978,1989-02-11,secretary_treasurer,1967
moffitt.xml,"Win Brown, Dennis Hodgson, John Weeks, Karen Hardee, and Emily Merchant",Robert Moffitt,2014,2019-04-11,president,1975
nam.xml,Jean van der Tak,Charles B. Nam,1979,1988-04-22,president,1959
notestein.xml,Anders Lunde,Frank W. Notestein,1947,1973-04-27,president,1927
palloni.xml,"Dennis Hodgson, Karen Hardee and Emily Merchant",Alberto Palloni,2006,2016-03-31,president,1977
pebley.xml,PAA History Committee,Anne R. Pebley,1998,2013-04-30,president,1980
presser.xml,Jean van der Tak,Harriet B. Presser,1989,1989-11-15,president,1969
preston.xml,Jean van der Tak,Samuel H. Preston,1984,1988-06-14,president,1968
price.xml,Jean van der Tak,Daniel O. Price,1956,1988-04-06,secretary_treasurer,1948
rindfuss.xml,Jean van der Tak,Ronald R. Rindfuss,1991,1992-05-01,president,1974
ryder.xml,Jean van der Tak,Norman B. Ryder,1972,1988-05-11,president,1951
shryock_lunde.xml,Jean van der Tak,"Henry S. Shryock, Jr.",1950,1988-02-05,president,1937
shryock_vdt.xml,Jean van der Tak,"Henry S. Shryock, Jr.",1950,1988-02-05,president,1937
siegel.xml,Jean van der Tak,Jacob S. Siegel,1980,1988-06-21,president,1943
spenglerAndHamilton.xml,Harry Rosenberg,C. Horace Hamilton,1960,1976-12-15,president,1930
stolnitz.xml,Jean van der Tak,George J. Stolnitx,1983,1988-01-20,president,1952
taeuberConrad.xml,Jean van der Tak,Conrad Taeuber,1939,1973-12-05,president,1931
taeuberIrene.xml,Anders Lunde,Irene B. Taeuber,1953,1973-04-28,president,1931
thornton.xml,Karen Hardee and Dennis Hodgson,Arland Thornton,2001,2017-04-27,president,1975
tienda.xml,John R. Weeks and committee members,Marta Tienda,2002,2013-04-29,president,1976
tsui.xml,"John Weeks, Dennis Hodgson, Karen Hardee, and Win Brown",Amy Tsui,2017,2018-04-26,president,1977
udry.xml,John R. Weeks,J. Richard (Dick) Udry,1994,2006-01-01,president,1960
van_de_walle.xml,Jean van der Tak,Etienne Van De Walle,1992,1993-02-17,president,1973
westoff.xml,Jean van der Tak,Charles F. Westoff,1974,1988-05-10,president,1953
wilson.xml,Jean van der Tak,Barbara Foley Wilson,1990,1993-08-04,secretary_treasurer,1974
